Bill Amount,Who Tipped,Tip Amount,Ethnicity,Day Dined,Meal Period,How Dined,Overall Satisfaction,Will Return,Would Recommend,Greeted Friendly,Meal Quality,Overall Service,"Music, Lighting, Temp.",Cleanliness,Food Delivery Speed,Bev. Service Speed,Offered Appetizer
$16.80,Me,$5.00,White,Sat,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$28.40,Me,$6.00,White,Mon,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Very Good,Excellent,Very Good,Excellent,Don't Remember
$21.00,Me,$3.40,Asian,Wed,Lunch,Dine In,Very Good,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Excellent,Excellent,Very Good,Very Good,No
$52.61,Me,$7.39,Other,Sun,Dinner,Dine In,Very Good,Might or Might Not,Might or Might Not,Yes,Good,Excellent,Very Good,Very Good,Very Good,Very Good,No
$20.16,Me,$4.00,White,Thu,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Very Good,Excellent,Excellent,Excellent,Excellent,Yes
$11.23,Me,$3.00,White,Tue,Lunch,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$21.00,Me,$5.00,Black,Mon,Dinner,Dine In,Excellent,Probably Will,Probably Would,Yes,Excellent,Very Good,Very Good,Excellent,Very Good,Good,No
$18.56,Me,$5.00,White,Fri,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Very Good,Excellent,Excellent,Excellent,No
$7.58,Me,$6.00,White,Sat,Lunch,Dine In,Excellent,Might or Might Not,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Don't Remember
$45.00,Me,$6.00,White,Sat,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,No
$38.11,Me,$6.00,Hispanic,Sun,Dinner,Dine In,Excellent,Definitely Will,Definitely Would,Yes,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Yes
$54.57,Someone else,,White,Sat,Dinner,Dine In,Excellent,Probably Will,Probably Would,Yes,Excellent,Excellent,Very Good,Very Good,Excellent,Excellent,No
